side,kind,index,tw_size,tw_gap_cents,share,size_x_ns,ns,two_sided_ns,note
bid,level,1,169.129218,0.000000,1.000000,3957622986767802,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,level,2,176.561087,3.545363,1.000000,4131528678716950,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,level,3,178.629816,6.674203,1.000000,4179936934080170,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,level,4,171.818186,9.536165,1.000000,4020544827487497,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,level,5,165.403080,12.259026,1.000000,3870431381481199,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,level,6,167.254677,14.793010,1.000000,3913758728861562,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,level,7,164.591370,17.221425,1.000000,3851437361179936,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,level,8,171.300887,19.551933,1.000000,4008440018217225,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,level,9,185.164193,21.847230,1.000000,4332841333145715,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,level,10,190.432378,24.132208,1.000000,4456116832873209,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
bid,cent,0,169.129218,0,1.000000,3957622986767802,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,1,62.730525,1,1.000000,1467894017913258,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,2,57.346645,2,1.000000,1341911255493679,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,3,55.672627,3,1.000000,1302739232345099,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,4,49.495886,4,1.000000,1158203517932953,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,5,59.540009,5,1.000000,1393235956322794,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,6,66.578342,6,1.000000,1557932928939679,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,7,69.273686,7,1.000000,1621003951274343,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,8,64.804525,8,1.000000,1516425604174745,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,9,71.396871,9,1.000000,1670686478526831,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,10,88.736858,10,0.998359,2073035239098304,23361603028404,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
bid,cent,11,77.504805,11,0.993309,1801477800834667,23243433842439,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
