bin,start_s,start_hms,hold_ns,two_sided_ns,one_sided_ns,empty_ns,spread_x_ns,mid2_x_ns,one_cent_ns,touch_x_ns,depth5_x_ns,depth10_x_ns,messages,adds,add_shares,cancels,cancel_shares,trades,trade_shares,hidden,hidden_shares,tw_spread_ticks,tw_spread_cents,tw_spread_bps,tw_mid_ticks,one_cent_share,tw_touch_depth,tw_depth5,tw_depth10,one_sided_share
0,34200,09:30:00,299995758824,299995758824,0,0,854116278258900,3515250032910946100,15468878,78917121969795,454245062875571,1309608382101327,7999,3652,313405,3316,270100,608,45467,423,44014,2847.094511,28.470945,4.859491,5858832.882656,0.000052,263.060792,1514.171616,4365.422989,0.000000
1,34500,09:35:00,300000000000,300000000000,0,0,715929986030900,3520197085497935700,347014,64818380235656,391080280937995,857327407360177,5907,2796,306019,2568,277113,342,27518,201,17971,2386.433287,23.864333,4.067556,5866995.142497,0.000001,216.061267,1303.600936,2857.758025,0.000000
2,34800,09:40:00,300000000000,300000000000,0,0,622556070582300,3517704926686926700,0,64684481149151,388513185510741,1144359794970221,4761,2264,224413,2067,200147,279,22657,151,11601,2075.186902,20.751869,3.539558,5862841.544478,0.000000,215.614937,1295.043952,3814.532650,0.000000
3,35100,09:45:00,300000000000,300000000000,0,0,612687977732200,3518155206051415200,2195757,137810507198943,1045148435462634,2406219856333517,4642,2195,277593,2061,255082,264,23978,122,9333,2042.293259,20.422933,3.483007,5863592.010086,0.000007,459.368357,3483.828118,8020.732854,0.000000
4,35400,09:50:00,300000000000,300000000000,0,0,563845822776400,3519225821882466200,43314995,77784718611569,444030636609685,995726880450099,7016,3402,267336,3055,239377,410,37160,149,13153,1879.486076,18.794861,3.204374,5865376.369804,0.000144,259.282395,1480.102122,3319.089602,0.000000
5,35700,09:55:00,300000000000,300000000000,0,0,513177239347800,3515861152283859600,195533,99003236300212,503142609728878,1099905025958405,4766,2347,202839,2166,183934,176,21108,77,5523,1710.590798,17.105908,2.919212,5859768.587140,0.000001,330.010788,1677.142032,3666.350087,0.000000
6,36000,10:00:00,300000000000,300000000000,0,0,549472915985800,3512647404398643200,3556699,68562328979132,369619958102573,929135367626408,11114,5300,456043,4759,411539,673,52209,382,26425,1831.576387,18.315764,3.128540,5854412.340664,0.000012,228.541097,1232.066527,3097.117892,0.000000
7,36300,10:05:00,300000000000,300000000000,0,0,572445058591400,3509279496551207200,106047,74556876532927,407711302351797,834168081553712,8005,3859,313601,3575,290492,358,28349,213,15647,1908.150195,19.081502,3.262465,5848799.160919,0.000000,248.522922,1359.037675,2780.560272,0.000000
8,36600,10:10:00,300000000000,300000000000,0,0,544486145354900,3513206505852081500,58224821,101284328254633,469847913479849,857018160003732,5108,2475,197905,2246,178278,248,24735,139,11568,1814.953818,18.149538,3.099654,5855344.176420,0.000194,337.614428,1566.159712,2856.727200,0.000000
9,36900,10:15:00,300000000000,300000000000,0,0,493771798037200,3517608929719061400,279531,86029704175855,575772670598862,1244997840886711,5804,2797,250845,2670,231322,233,19685,104,9061,1645.905993,16.459060,2.807429,5862681.549532,0.000001,286.765681,1919.242235,4149.992803,0.000000
