t_ns,t_s,S_km,S_naive,n_observed,n_censored
100000,0.000100,0.994906,0.994904,180930,10085
112201,0.000112,0.992922,0.992920,180930,10085
125892,0.000126,0.991507,0.991505,180930,10085
141253,0.000141,0.990358,0.990355,180930,10085
158489,0.000158,0.989038,0.989034,180930,10085
177827,0.000178,0.987827,0.987824,180930,10085
199526,0.000200,0.986651,0.986647,180930,10085
223872,0.000224,0.985584,0.985580,180930,10085
251188,0.000251,0.984462,0.984458,180930,10085
281838,0.000282,0.983501,0.983496,180930,10085
316227,0.000316,0.982600,0.982595,180930,10085
354813,0.000355,0.981656,0.981650,180930,10085
398107,0.000398,0.980269,0.980263,180930,10085
446683,0.000447,0.979280,0.979274,180930,10085
501187,0.000501,0.958211,0.958199,180930,10085
562341,0.000562,0.954691,0.954679,180930,10085
630957,0.000631,0.951492,0.951478,180930,10085
707945,0.000708,0.946668,0.946653,180930,10085
794328,0.000794,0.940949,0.940933,180930,10085
891250,0.000891,0.935136,0.935119,180930,10085
1000000,0.001000,0.929898,0.929879,180930,10085
1122018,0.001122,0.924898,0.924877,180930,10085
1258925,0.001259,0.920090,0.920069,180930,10085
1412537,0.001413,0.914499,0.914475,180930,10085
1584893,0.001585,0.909034,0.909009,180930,10085
1778279,0.001778,0.903155,0.903128,180930,10085
1995262,0.001995,0.893275,0.893246,180930,10085
2238721,0.002239,0.884760,0.884729,180930,10085
2511886,0.002512,0.878367,0.878334,180930,10085
2818382,0.002818,0.872201,0.872166,180930,10085
3162277,0.003162,0.865039,0.865003,180930,10085
3548133,0.003548,0.857762,0.857724,180930,10085
3981071,0.003981,0.849087,0.849047,180930,10085
4466835,0.004467,0.841219,0.841176,180930,10085
5011872,0.005012,0.832986,0.832941,180930,10085
5623413,0.005623,0.822564,0.822517,180930,10085
6309573,0.006310,0.813226,0.813176,180930,10085
7079457,0.007079,0.806513,0.806461,180930,10085
7943282,0.007943,0.799412,0.799359,180930,10085
8912509,0.008913,0.792688,0.792633,180930,10085
10000000,0.010000,0.784930,0.784873,180930,10085
11220184,0.011220,0.777387,0.777328,180930,10085
12589254,0.012589,0.770900,0.770840,180930,10085
14125375,0.014125,0.765010,0.764948,180930,10085
15848931,0.015849,0.758937,0.758874,180930,10085
17782794,0.017783,0.752257,0.752191,180930,10085
19952623,0.019953,0.745526,0.745460,180930,10085
22387211,0.022387,0.738619,0.738551,180930,10085
25118864,0.025119,0.732768,0.732698,180930,10085
28183829,0.028184,0.726446,0.726375,180930,10085
31622776,0.031623,0.718484,0.718410,180930,10085
35481338,0.035481,0.711958,0.711883,180930,10085
39810717,0.039811,0.705918,0.705842,180930,10085
44668359,0.044668,0.699614,0.699536,180930,10085
50118723,0.050119,0.693403,0.693323,180930,10085
56234132,0.056234,0.687181,0.687100,180930,10085
63095734,0.063096,0.680992,0.680910,180930,10085
70794578,0.070795,0.674599,0.674515,180930,10085
79432823,0.079433,0.667448,0.667363,180930,10085
89125093,0.089125,0.659911,0.659824,180930,10085
100000000,0.100000,0.651286,0.651197,180930,10085
112201845,0.112202,0.638875,0.638783,180930,10085
125892541,0.125893,0.621573,0.621478,180930,10085
141253754,0.141254,0.606947,0.606848,180930,10085
158489319,0.158489,0.586418,0.586315,180930,10085
177827941,0.177828,0.571935,0.571829,180930,10085
199526231,0.199526,0.558728,0.558619,180930,10085
223872113,0.223872,0.545085,0.544973,180930,10085
251188643,0.251189,0.531392,0.531277,180930,10085
281838293,0.281838,0.518594,0.518477,180930,10085
316227766,0.316228,0.504342,0.504223,180930,10085
354813389,0.354813,0.480675,0.480550,180930,10085
398107170,0.398107,0.462699,0.462571,180930,10085
446683592,0.446684,0.447414,0.447283,180930,10085
501187233,0.501187,0.429946,0.429813,180930,10085
562341325,0.562341,0.408510,0.408373,180930,10085
630957344,0.630957,0.392937,0.392798,180930,10085
707945784,0.707946,0.378199,0.378058,180930,10085
794328234,0.794328,0.363615,0.363472,180930,10085
891250938,0.891251,0.348495,0.348350,180930,10085
1000000000,1.000000,0.332667,0.332521,180930,10085
1122018454,1.122018,0.315164,0.315017,180930,10085
1258925411,1.258925,0.299893,0.299746,180930,10085
1412537544,1.412538,0.284871,0.284723,180930,10085
1584893192,1.584893,0.270799,0.270652,180930,10085
1778279410,1.778279,0.256848,0.256701,180930,10085
1995262314,1.995262,0.241808,0.241663,180930,10085
2238721138,2.238721,0.225961,0.225817,180930,10085
2511886431,2.511886,0.211966,0.211822,180930,10085
2818382931,2.818383,0.198131,0.197988,180930,10085
3162277660,3.162278,0.184062,0.183922,180930,10085
3548133892,3.548134,0.171531,0.171392,180930,10085
3981071705,3.981072,0.158673,0.158536,180930,10085
4466835921,4.466836,0.145936,0.145802,180930,10085
5011872336,5.011872,0.132473,0.132344,180930,10085
5623413251,5.623413,0.120808,0.120682,180930,10085
6309573444,6.309573,0.108860,0.108738,180930,10085
7079457843,7.079458,0.097939,0.097822,180930,10085
7943282347,7.943282,0.088532,0.088421,180930,10085
8912509381,8.912509,0.079356,0.079252,180930,10085
10000000000,10.000000,0.070501,0.070403,180930,10085
11220184543,11.220185,0.062061,0.061969,180930,10085
12589254117,12.589254,0.054396,0.054308,180930,10085
14125375446,14.125375,0.047283,0.047201,180930,10085
15848931924,15.848932,0.040579,0.040502,180930,10085
17782794100,17.782794,0.035334,0.035262,180930,10085
19952623149,19.952623,0.030455,0.030387,180930,10085
22387211385,22.387211,0.026228,0.026165,180930,10085
25118864315,25.118864,0.022334,0.022274,180930,10085
28183829312,28.183829,0.018842,0.018786,180930,10085
31622776601,31.622777,0.015738,0.015686,180930,10085
35481338923,35.481339,0.013032,0.012983,180930,10085
39810717055,39.810717,0.010918,0.010872,180930,10085
44668359215,44.668359,0.008876,0.008832,180930,10085
50118723362,50.118723,0.007541,0.007500,180930,10085
56234132519,56.234133,0.006399,0.006362,180930,10085
63095734448,63.095734,0.005301,0.005267,180930,10085
70794578438,70.794578,0.004531,0.004499,180930,10085
79432823472,79.432823,0.003998,0.003968,180930,10085
89125093813,89.125094,0.003388,0.003360,180930,10085
100000000000,100.000000,0.002928,0.002902,180930,10085
23400000000000,23400.000000,0.000000,0.000000,180930,10085
